STT	Mã dự án	Dự án	Kế toán	Phòng DA	Cấp QĐ đầu tư trước khi bàn giao	CĐT cũ	QĐ chuyển CĐT	Tình trạng hiện tại
								
		Tổng						
119	7632186	Tu bổ, tôn tạo các di tích gốc và xây dựng cơ sở hạ tầng Khu di tích quốc gia đặc biệt Đại thi hào Nguyễn Du, tỉnh Hà Tĩnh (giai đoạn 1)	Hương Giang	2	T	Dân dụng	DDCN	5
120	7768841	Dự án cấp điện nông thôn từ lưới điện quốc gia tỉnh Hà Tĩnh GĐ 2018-2020	Hương Giang	1	T	Dân dụng	DDCN	5
121	7013222	Dự án cấp điện nông thôn từ lưới điện quốc gia, tỉnh Hà Tĩnh đã thực hiện	Hương Giang	1	T	Dân dụng	DDCN	5
122	7942218	Bệnh viện Y học cổ truyền Hà Tĩnh (giai đoạn 2)	Vũ Giang	2	T	Dân dụng	DDCN	5
123	7987973	Dự án Nhà học 05 tầng trường Trung cấp nghề Hà Tĩnh	Hương Giang	1	T	Dân dụng	DDCN	5
124	8017588	Mở rộng khuôn viên Trung tâm điều dưỡng người có công và Bảo trợ xã hội tỉnh	Vũ Giang	1	T	Dân dụng	DDCN	5
125	8113556	Cải tạo, nâng cấp một số cơ sở vật chất thiết yếu của UBND tỉnh	Vũ Giang	1	T	Dân dụng	DDCN	5
126	7946314	Xây dựng Trung tâm hội nghị trực tuyến, TTTH dữ liệu, TTĐH thông minh; nâng cấp sửa chữa Trung tâm Công báo-Tin học	Hương Giang	1	T	Dân dụng	DDCN	5
127	7964395	Chỉnh trang cây xanh Sân vận động huyện và tuyến đường trung tâm thị trấn Đồng Lộc, huyện Can Lộc năm 2022	Hương	2	H	Can Lộc	2140	5
128	7060459	Xây dựng trụ sở làm việc UBND huyện Cẩm Xuyên, tỉnh Hà Tĩnh	Nam	2	H	Cẩm Xuyên	2140	4
129	7956688	Đường LX03 đoạn từ Thiên Cầm đến xã Cẩm Hòa, huyện Cẩm Xuyên	Nam	2	T	Cẩm Xuyên	2140	4
130	7938940	Sửa chữa, nâng cấp tuyến đường ĐH.132 Cẩm Hưng - Cẩm Lộc và các tuyến nhánh	Nam	2	H	Cẩm Xuyên	2140	5
131	8115975	Nhà học 2 tầng 10 phòng Trường Tiểu học Cẩm Hưng	Nam	2	H	Cẩm Xuyên	2140	5
132	8129144	Nhà hiệu bộ kết hợp nhà học 3 tầng trường trung học cơ sở Thiên Cầm	Nam	2	H	Cẩm Xuyên	2140	5
133	7965115	Đường trục xã Cẩm Huy cũ (đoạn từ QL1A đi đường ĐH.131)	Nam	2	H	Cẩm Xuyên	2140	5
134	7972204	Nâng cấp đường trục xã từ trung tâm xã đi kênh N1, xã Cẩm Sơn	Nam	2	H	Cẩm Xuyên	2140	6
135	7874264.1	Xây dựng trụ sở Công an xã Cẩm Duệ	Nam	2	H	Cẩm Xuyên	2140	7
136	7874264.2	Xây dựng trụ sở Công an xã Cẩm Quang	Nam	2	H	Cẩm Xuyên	2140	7
137	7986300	Nâng cấp, mở rộng  tuyến đường ĐH.36 (Chợ Đình – Quán Trại), huyện Can Lộc	Hương	2	T	Can Lộc	2140	5
138	8081059	Nâng cấp, mở rộng đường Thị Sơn, huyện Can Lộc (giai đoạn 1)	Hương	2	H	Can Lộc	2140	5
139	8155086	Nâng cấp, mở rộng đường Thiên An (tuyến nhánh 01), huyện Can Lộc	Hương	2	H	Can Lộc	2140	4
140	8055487	 Xây dựng trụ sở làm việc xã Khánh Vĩnh Yên, huyện Can Lộc	Hương	2	H	Can Lộc	2140	5
141	7945812	Xây dựng hạ tầng khuôn viên trụ sở Huyện ủy, CQCQ Huyện	Hương	2	H	Can Lộc	2140	5
142	7053124	Hệ thống kết cấu hạ tầng kỹ thuật Cụm Công nghiệp - Tiểu thủ công nghiệp Bắc huyện Cẩm Xuyên	Nam	2	T	Cẩm Xuyên	2578	5
143	7997094	Xây dựng nhà học bộ môn 02 tầng, 10 phòng trường THCS Mỹ Châu	Phú	3	H	Thạch Hà	2140	5
144	8021729	Quy hoạch chi tiết khu dân cư xã Phú Phong	Quân	3	H	Hương Khê	2977	5
145	8021730	Quy hoạch chi tiết xây dựng cụm công nghiệp Gia Phố	Quân	3	#N/A	Hương Khê	2977	5
146	8006463	Quy hoạch xây dựng vùng huyện Hương Khê đến năm 2040; tầm nhìn đến năm 2050	Quân	3	#N/A	Hương Khê	2977	5
147	7996627	Đồ án Quy hoạch chung xây dựng đô thị Hương Khê, huyện Hương Khê, tỉnh Hà Tĩnh, giai đoạn đến năm 2045	Quân	3	H	Hương Khê	2977	5
148	3034080	Đề án phân loại đô thị thị trấn Hương Khê mở rộng, huyện Hương Khê, tỉnh Hà Tĩnh đạt tiêu chí đô thị loại V	Quân	3	H	Hương Khê	2977	5
149	chưa mở mã	Chương trình phát triển đô thị thị trấn Hương Khê, huyện Hương Khê, tỉnh Hà Tĩnh đến năm 2030	Quân	3	H	Hương Khê	2977	5
150	7457939	Hệ thống điện chiếu sáng khu vực Trung tâm hành chính huyện Lộc Hà và cụm dân cư dọc đường Tỉnh lộ 9 (giai đoạn 2)	Phú	3	T	Thạch Hà	2140	5
151	7642070	Hạ tầng nuôi trồng thủy sản xã Mai Phụ và Hộ Độ, huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	5
152	7398566	Kè biển chống xâm thực huyện Lộc Hà đoạn từ K3+00 - K11+105 thuộc địa bàn xã Thạch Bằng và Thịnh Lộc huyện Lộc Hà, tỉnh Hà Tĩnh	Phú	3	T	Thạch Hà	2140	5
153	7145963	Củng cố, nâng cấp đê Tả nghèn huyện Lộc Hà đoạn k16+300 - k26+00	Phú	3	T	Thạch Hà	2140	5
154	chưa mở mã	Đường kết nối từ quốc lộ 8C vào khu thương mại, dịch vụ, du lịch và thể thao phía Tây Nam huyện Thạch Hà	Tâm	3	H	Thạch Hà	2140	5
155	8119946	Đường giao thông liên xã Mai Phụ - Hộ Độ (dự án thành phần 2)	Phú	3	H	Thạch Hà	2140	5
156	8113066	Nâng cấp, sửa chữa kênh tưới chính trạm bơm đầu cầu xã Hồng Lộc	Phú	3	H	Thạch Hà	2140	6
157	8113063	Dự án Xây dựng Nhà đa năng và các hạng mục phụ trợ Trường THCS Bình An Thịnh	Phú	3	H	Thạch Hà	2140	6
158	8128254	Nâng cấp tuyến đường từ nhà ông Dung - Chợ Chiều (từ thôn Tri Khê đến thôn Vạn Đò) xã Thạch Sơn	Đại	3	H	Thạch Hà	2140	5
159	8095526	Nhà học 02 tầng 6 phòng Trường mầm non Việt Xuyên, xã Việt Tiến	Phú	3	H	Thạch Hà	2140	5
