STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
46;8155077;Tôn t?o Nhà l?u ni?m, Nhà t??ng ni?m, Nhà tranh t?i khu l?u ni?m T?ng Bí th? Hà HUy T?p;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
47;8155075;Xây d?ng Nhà l?u ni?m, Nhà t??ng ni?m t?i khu l?u ni?m T?ng Bí th? Tr?n Phú;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
48;8173864;Xây d?ng Tr??ng ph? thông n?i trú liên c?p Ti?u h?c và THCS H??ng Khê;H??ng Giang;1;T;DDHT;;3;;;;;;;;;;;
49;8173865;Xây d?ng Tr??ng ph? thông n?i trú liên c?p Ti?u h?c và THCS S?n Kim 1;H??ng Giang;1;T;DDHT;;3;;;;;;;;;;;
50;8096165;H? th?ng ?i?n chi?u sáng KDL Thiên C?m ?o?n Qu?c l? 15B (t? Km44+950 ??n Km52+120) và h? th?ng ?èn trang trí c?u C?a Nh??ng, huy?n C?m Xuyên;V? Giang;2;T;C?m Xuyên;2140;3;;;;;;;;;;;
51;8131256;???ng n?i ???ng gom QL15B ?i c?m công nghi?p C?m Nh??ng;V? Giang;2;T;C?m Xuyên;2140;3;;;;;;;;;;;
52;7941955;Nâng c?p, m? r?ng tuy?n ???ng C?m Th?ch - Th?ch H?i, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;T;C?m Xuyên;2140;3;;;;;;;;;;;
53;7941956;H? t?ng khu du l?ch Nam Thiên C?m, huy?n C?m Xuyên;V? Giang;2;T;C?m Xuyên;2140;3;;;;;;;;;;;
54;7936770;Hoàn thi?n h? t?ng k? thu?t C?m công nghi?p - Ti?u th? công nghi?p B?c C?m Xuyên;Nam;2;T;C?m Xuyên;2140;3;;;;;;;;;;;
55;8067233;???ng tr?c xã TX.05 xã C?m Thành;Nam;2;H;C?m Xuyên;2140;3;;;;;;;;;;;
56;7972205;???ng Ph?m Lê ??c, th? tr?n C?m Xuyên;Nam;2;H;C?m Xuyên;2140;3;;;;;;;;;;;
57;7972202;???ng C?m S?n ?i C?m Th?nh (???ng tránh l?);Nam;2;H;C?m Xuyên;2140;3;;;;;;;;;;;
58;8042041;???ng giao thông liên xã Khánh V?nh Yên - Thanh L?c, huy?n Can L?c ?i th? xã H?ng L?nh;H??ng;2;T;Can L?c;2140;3;;;;;;;;;;;
59;8080684;Xây d?ng nhà h?c 4 t?ng tr??ng THPT ??ng L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2140;3;;;;;;;;;;;
60;8105294;Xây d?ng h? t?ng khuôn viên tr? s? xã Kim Song Tr??ng;H??ng;2;H;Can L?c;2140;3;;;;;;;;;;;
61;7544621;D? án H? t?ng c? b?n cho phát tri?n toàn di?n t?nh Hà T?nh thu?c D? án BIIG2;H??ng Giang;2;T;Dân d?ng;DDCN;3;;;;;;;;;;;
62;7942217;??u t? xây d?ng tr??ng ngh? ch?t l??ng cao, tr??ng cao ??ng ngh? Vi?t ??c Hà T?nh;V? Giang;2;T;Dân d?ng;DDCN;3;;;;;;;;;;;
63;7868256;X? lý c?p bách ?ê H?u Ph?, huy?n Th?ch Hà, ?o?n t? K10+00 ??n K15+315;Phú;3;T;Th?ch Hà;2013;3;;;;;;;;;;;
64;7936829;???ng tr?c ngang ven bi?n huy?n Th?ch Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
65;7935525;H? t?ng ngoài hàng rào c?m công nghi?p Th?ch B?ng, huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
66;7602235;H? t?ng khu du l?ch bi?n huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
67;7853227;X? lý c?p bách ?ê t? nghèn huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
68;7933742;?ê t? nghèn huy?n L?c Hà ?o?n qua chùa Ph? ?? n?i v?i t?nh l? 9;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
69;7275750;???ng c?u h? c?u n?n cho Nhân dân các xã ven bi?n huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
70;7786649;Ti?u d? án c?i thi?n c? s? h? t?ng ?ô th? Th?ch Hà, huy?n Th?ch Hà, t?nh Hà T?nh. Thu?c d? án C?i thi?n c? s? h? t?ng ?ô th? nh?m gi?m thi?u tác ??ng c?a bi?n ??i khí h?u cho 04 t?nh ven bi?n B?c Trung B?.;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
71;8039671;Qu?ng tr??ng bi?n C?a Sót, huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
72;7555797;Tu b? tôn t?o di tích l?ch s? v?n hóa ??n th? Mai H?c ??, xây d?ng T??ng ?ài và Qu?ng tr??ng Mai H?c ??;Phú;3;T;Th?ch Hà;2140;3;;;;;;;;;;;
73;8086818;???ng giao thông n?i vùng khu trung tâm hành chính huy?n L?c Hà (giai ?o?n 5);Phú;3;H;Th?ch Hà;2140;3;;;;;;;;;;;
74;8119947;D? án Nâng c?p Kênh tiêu c?u Trung Ngh?a, th? tr?n L?c Hà, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;3;;;;;;;;;;;
75;7966346;???ng giao thông t? Qu?c l? 15B, xã Vi?t Ti?n ??n ???ng Th??ng Ng?c, xã Th?ch Ng?c;??i;3;H;Th?ch Hà;2140;3;;;;;;;;;;;
76;8128529;Dãy nhà 03 t?ng 06 phòng h?c b? môn và các h?ng m?c ph? tr? Tr??ng THCS Nguy?n Thi?p;Tâm;3;H;Th?ch Hà;2140;3;;;;;;;;;;;
77;7973345;???ng giao thông t? 9, th? tr?n Th?ch Hà;??i;3;H;Th?ch Hà;2140;3;;;;;;;;;;;
78;8075141;???ng giao thông t? ???ng H? Chí Minh vào C?m công nghi?p Gia Ph? (Giai ?o?n 1);??c;3;T;H??ng Khê;2140;3;;;;;;;;;;;
79;7853204;D? án c?i thi?n c? s? h? t?ng ?ô th? H??ng Khê, huy?n H??ng Khê (AFD);Quân;3;T;H??ng Khê;2140;3;;;;;;;;;;;
80;7935693;???ng giao thông t? ???ng H? Chí Minh vào khu v?c biên gi?i xã Hòa H?i, huy?n H??ng Khê;??c;3;T;H??ng Khê;2140;3;;;;;;;;;;;
81;7947023;???ng giao thông b?o v? an ninh biên gi?i, k?t h?p b?o v? phát tri?n thác V? Môn và phát tri?n vùng, huy?n H??ng Khê (giai ?o?n 1);??c;3;T;H??ng Khê;2140;3;;;;;;;;;;;
82;7999325;???ng giao thông n?i ???ng Huy?n l? 2 (?H.87) ?i ???ng H? Chí Minh, huy?n H??ng Khê;??c;3;H;H??ng Khê;2140;3;;;;;;;;;;;
83;8096030;Kh?i phòng h?c t?p k?t h?p h? tr? h?c t?p Tr??ng Ti?u h?c H??ng Trà;Quân;3;H;H??ng Khê;2140;3;;;;;;;;;;;
84;8080492;???ng GTNT xã H??ng Trà;??c;3;H;H??ng Khê;2140;3;;;;;;;;;;;
85;8053446;???ng GTNT xã H??ng Long (tuy?n ???ng ?i thôn 7, 8 và tuy?n ???ng tr?c TX01 ?o?n t? huy?n l? 6 ?i huy?n l? 8);Quân;3;H;H??ng Khê;2140;3;;;;;;;;;;;
86;8080489;Nâng c?p ???ng giao thông tr?c chính xã Phú Phong;Quân;3;H;H??ng Khê;2140;3;;;;;;;;;;;
87;7959538;???ng giao thông tránh l? k?t h?p vào khu x? lý ch?t th?i r?n huy?n H??ng Khê t?i thôn 2, xã H??ng Th?y;??c;3;H;H??ng Khê;2140;3;;;;;;;;;;;
88;7944311;Nâng c?p ???ng giao thông Huy?n l? 92 (?H92) ?o?n t? xã H??ng Th?y ?i xã H??ng Giang, huy?n H??ng Khê;??c;3;H;H??ng Khê;2140;3;;;;;;;;;;;
89;7742342;D? án ???ng giao thông n?i vùng xã ??c D?ng, huy?n ??c Th?;Huân;1;T;??c Th?;2140;4;;;;;;;;;;;
90;8025847;D? án ??u t? xây d?ng Sàn giao d?ch vi?c làm t?i Thành ph? Hà T?nh ;V? Giang;1;T;Dân d?ng;DDCN;4;;;;;;;;;;;
91;7333066;D? án ngu?n n??c t?ng h?p và phát tri?n ?ô th? trong m?i liên h? bi?n ??i khí h?u t?i t?nh Hà T?nh;H??ng Giang;1;T;Dân d?ng;DDCN;4;;;;;;;;;;;
92;7763646;Tr? s? làm vi?c Tr?m ki?m d?ch ??ng v?t n?i ??a;H??ng Giang;1;T;Dân d?ng;DDCN;4;;;;;;;;;;;
93;8132633;???ng và c?u n?i hai phía Nam - B?c khu du l?ch Thiên C?m;V? Giang;2;T;C?m Xuyên;2140;4;;;;;;;;;;;
94;8115971;Nhà h?c b? môn 2 t?ng 10 phòng Tr??ng THCS S?n Hà;Nam;2;H;C?m Xuyên;2140;4;;;;;;;;;;;
95;8059684;???ng giao thông tr?c xã C?m Quan;Nam;2;H;C?m Xuyên;2140;5;;;;;;;;;;;
96;7773469;Nâng c?p, m? r?ng ???ng tr?c chính xã Thu?n Thi?n;H??ng;2;T;Can L?c;2140;4;;;;;;;;;;;
97;7283149;?ê t? nghèn ?o?n t? K0 - K4+064,17;H??ng;2;T;Can L?c;2140;4;;;;;;;;;;;
98;7307545;???ng t? xã Tr??ng L?c và trung tâm xã mi?n núi Gia Hanh;H??ng;2;#N/A;Can L?c;2140;4;;;;;;;;;;;
99;7428304;Tu b?, tôn t?o di tích ??n th? Phan Kính xã Song L?c, huy?n Can L?c, t?nh Hà T?nh;H??ng;2;#N/A;Can L?c;2140;4;;;;;;;;;;;
100;7548060;H? t?ng k? thu?t C?m công nghi?p Yên Huy, huy?n Can L?c;H??ng;2;#N/A;Can L?c;2140;4;;;;;;;;;;;
101;7793572;???ng giao thông nông thôn xã Phú L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2140;4;;;;;;;;;;;
102;8022195;???ng giao thông huy?n l? ?H.116, ?o?n Mai Ph? - Ích h?u, huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;4;;;;;;;;;;;
103;8091397;Nâng c?p, m? r?ng ???ng giao thông liên xã Th?ch Ng?c -Ng?c S?n;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
104;8093847;Nhà h?c 03 t?ng 15 phòng Tr??ng Ti?u h?c 2 th? tr?n Th?ch Hà;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
105;7957184;???ng giao thông tr?c chính L?u V?nh S?n;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
106;8074704;???ng giao thông t? ???ng ?T,550 t?i xã Ng?c S?n ??n xã Th?ch Ng?c;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
107;8112824;Nâng c?p ???ng tr?c thôn 04 xã Th?ch S?n;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
108;7862796;Ch?m sóc, duy trì và tr?ng m?i cây xanh ?ô th? huy?n L?c Hà n?m 2020;Phú;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
109;7898773;Ch?m sóc, duy trì và tr?ng m?i cây xanh ?ô th? huy?n L?c Hà n?m 2021;Phú;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
110;8022919;M?ng l??i c?p n??c sinh ho?t xã Th?ch Khê;??i;3;H;Th?ch Hà;2140;4;;;;;;;;;;;
111;8080483;???ng GTNT xã Phúc ??ng;??c;3;H;H??ng Khê;2140;4;;;;;;;;;;;
112;7130423;Ti?u h?p ph?n 2 thu?c H?p ph?n BT GPMB T?C công trình h? th?ng th?y l?i ngàn tr??i C?m Trang (Tên c?: Xây d?ng ngh?a ??a t?i th? tr?n V? Quang);Thu?n;1;T;V? Quang;2140;5;;;;;;;;;;;
113;7778248;D? án Kè ch?ng s?t l? b? h?u sông Ngàn Sâu ?o?n qua xã ??c ??ng - ??c L?c, huy?n ??c Th?, t?nh Hà T?nh;Huân;1;T;??c Th?;2140;5;;;;;;;;;;;
114;7010912;D? án Kè b? t? sông La ?o?n qua xã Tr??ng S?n - Liên Minh, huy?n ??c Th?;Huân;1;T;??c Th?;2140;5;;;;;;;;;;;
115;7959984;C?u H?p Chu?i, th? tr?n V? Quang;Thu?n;1;T;V? Quang;2140;5;;;;;;;;;;;
116;7321480;H? t?ng k? thu?t C?m CN-TTCN t?p trung huy?n V? Quang;Thu?n;1;H;V? Quang;2140;4;;;;;;;;;;;
117;7269749;???ng vào trung tâm các xã Ân Phú, ??c Giang k?t h?p c?u h?, c?u n?n trong mùa m?a l?;Thu?n;1;H;V? Quang;2140;5;;;;;;;;;;;
118;7535585;Trung tâm y t? huy?n K? Anh;H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
119;7632186;Tu b?, tôn t?o các di tích g?c và xây d?ng c? s? h? t?ng Khu di tích qu?c gia ??c bi?t ??i thi hào Nguy?n Du, t?nh Hà T?nh (giai ?o?n 1);H??ng Giang;2;T;Dân d?ng;DDCN;5;;;;;;;;;;;
120;7768841;D? án c?p ?i?n nông thôn t? l??i ?i?n qu?c gia t?nh Hà T?nh G? 2018-2020;H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
121;7013222;D? án c?p ?i?n nông thôn t? l??i ?i?n qu?c gia, t?nh Hà T?nh ?ã th?c hi?n;H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
122;7942218;B?nh vi?n Y h?c c? truy?n Hà T?nh (giai ?o?n 2);V? Giang;2;T;Dân d?ng;DDCN;5;;;;;;;;;;;
123;7987973;D? án Nhà h?c 05 t?ng tr??ng Trung c?p ngh? Hà T?nh;H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
124;8017588;M? r?ng khuôn viên Trung tâm ?i?u d??ng ng??i có công và B?o tr? xã h?i t?nh;V? Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
125;8113556;C?i t?o, nâng c?p m?t s? c? s? v?t ch?t thi?t y?u c?a UBND t?nh;V? Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
126;7946314;"Xây d?ng Trung tâm h?i ngh? tr?c tuy?n, TTTH d? li?u, TT?H thông minh; nâng c?p s?a ch?a Trung tâm Công báo-Tin h?c";H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
127;7964395;Ch?nh trang cây xanh Sân v?n ??ng huy?n và tuy?n ???ng trung tâm th? tr?n ??ng L?c, huy?n Can L?c n?m 2022;H??ng;2;H;Can L?c;2140;5;;;;;;;;;;;
128;7060459;Xây d?ng tr? s? làm vi?c UBND huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;4;;;;;;;;;;;
129;7956688;???ng LX03 ?o?n t? Thiên C?m ??n xã C?m Hòa, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;4;;;;;;;;;;;
130;7938940;S?a ch?a, nâng c?p tuy?n ???ng ?H.132 C?m H?ng - C?m L?c và các tuy?n nhánh;Nam;2;H;C?m Xuyên;2140;5;;;;;;;;;;;
131;8115975;Nhà h?c 2 t?ng 10 phòng Tr??ng Ti?u h?c C?m H?ng;Nam;2;H;C?m Xuyên;2140;5;;;;;;;;;;;
