STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
307;7665809;Nâng c?p m? r?ng ???ng t? TT V? Quang ?i H??ng Th? (?o?n t? C?u H??ng ??i ??n Bãi Cùng);Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
308;7666376;Nâng c?p ???ng t?nh l? 552 ?o?n qua th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
309;7677988;Nâng c?p m? r?ng ???ng H??ng Th? - C?a Rào( ?o?n qua trung tâm hành chính xã H??ng Th?);Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
310;7703413;C?u ??p B??m xã H??ng Th? huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
311;7754557;C?i t?o nhà làm vi?c 03 t?ng UBND huy?n;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
312;7743782;Nhà h?c 02 t?ng 6 phòng Tr??ng ti?u h?c xã ??c L?nh huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
313;7859913;C?i t?o nhà h?c b? môn, nhà h?i tr??ng, sân lát g?ch, m??ng thoát n??c tr??ng THPT V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
314;7878420;Nhà t?p luy?n th? thao, Trung tâm v?n hóa - truy?n thông huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
315;7541321;???ng GTNT xã ??c Giang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
316;7597353;???ng giao thông n?i th? ?o?n qua t? dân ph? 2 ?i t? dân ph? 1 th? tr?n V? Quang, t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
317;7575367;???ng tr?c chính xã ??c Giang huy?n V? Quang (?o?n t? Tr??ng THCS Ân Giang ??n C?ng Cho?ng) t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
318;7692917;C?i t?o nhà làm vi?c 3 t?ng, Trung tâm hành chính công huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
319;7899091;C?i t?a, s?a ch?a khuôn viên, c?ng, hàng rào Trung tâm GDTX huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
320;7935136;???ng H??ng Phùng, H??ng Hòa, H??ng Tân, H??ng ??ng xã ??c H??ng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
321;8072686;???ng GT thôn 7 NX57 ?H77 ??n Ngàn Tr??i xã ??c B?ng;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
322;7489424;???ng vào khu ch?n nuôi t?p trung xã H??ng Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
323;7899092;Nhà h?c 02 t?ng 04 phòng và b?p tr??ng Mn xã ??c H??ng;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
324;7690165;Nhà v?n hóa t? dân ph? 5 th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
325;7637127;Duy tu, s?a ch?a công trình HTKT kh?i 4 th? tr?n VQ huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
326;7740276;"H? th?ng ?i?n chi?u sáng th? tr?n V? Quang, huy?n V? Quang (?o?n t? C?ng chào ?i?n t? ??n c?ng ?ài Truy?n hình; Nhánh vào Trung tâm chính tr? và ?ài t??ng ni?m)";Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
327;8075396;S?a ch?a ??p N?y C?u xã ??c H??ng;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
328;8080502;Nhà t??ng ni?m li?t s? huy?n V? Quang, H?ng m?c: Hàng rào, kè ch?n ??t;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
329;8133134;Quy ho?ch chi ti?t xây d?ng C?m công nghi?p - ti?u th? công nghi?p t?p trung huy?n V? Quang, t? l? 1/500;Thu?n;1;H;V? Quang;2977;7;;;;;;;;;;;
330;7768527;C?u H?i, th? tr?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;7;;;;;;;;;;;
331;7346114;???ng vào trung tâm xã C?m Nam, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;7;;;;;;;;;;;
332;7905535;Nâng c?p ???ng giao thông t? ???ng ?T548 ?i chùa H??ng Tích, huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
333;7651398;S?a ch?a, nâng c?p ngh?a trang li?t s? huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
334;7853689;Nâng c?p, m? r?ng ???ng giao thông liên xã Thanh L?c - Khánh V?nh yên;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
335;8031594;Nhà h?c 3 t?ng tr??ng ti?u h?c M? L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
336;7771913; ???ng trung tâm th? tr?n Nghèn ?o?n t? QL 1a giao v?i ???ng Xuân Di?u (G? 2) ;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
337;7887208;C?u Làng xã Khánh V?nh Yên;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
338;7898767;???ng giao thông liên xã Trung L?c - Khánh V?nh Yên;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
339;7882370;C?i t?o, nâng c?p nhà làm vi?c UBND huy?n;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
340;7576610; ???ng liên thôn xóm Tài n?m - Tùng S?n và xóm Tân H??ng - Tây Vinh ;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
341;7871377;Xây d?ng ki ?t bán hàng t?i chùa H??ng Tích, huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
342;7911734;Nâng c?p, m? r?ng ???ng tr?c chính t? thôn Phong S?n ??n C?m công nghi?p Yên Huy, xã Khánh V?nh Yên, huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
343;7924292;Kênh tiêu úng xã Tùng L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
344;7933045;S?a ch?a tuy?n ?ê H?u Nghèn t? K5+370 – K6+275. ;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
345;8117709;???ng giao thông liên xã Khánh V?nh Yên – V??ng L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
346;8062096;Kênh tiêu úng phía nam th? tr?n Nghèn;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
347;7930594;Nâng c?p, m? r?ng ???ng vào khu di tích làng K130 th? tr?n Nghèn, huy?n Can L?c;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
348;7870765;Xây d?ng ph?n m?m thành ph?n, b? sung trang thi?t b? ph?c v? c?ng ?i?u hành n?i b? trên ??a bàn huy?n;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
349;8131162;H? th?ng ?i?n trang trí d?i phân cách tuy?n ???ng QL1A ?i qua th? tr?n Nghèn, huy?n Can L?c.;H??ng;2;H;Can L?c;2140;7;;;;;;;;;;;
350;7881487;Nhà sinh ho?t c?ng ??ng thôn Minh V??ng xã V??ng L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2578;7;;;;;;;;;;;
351;7881488;Nhà sinh ho?t c?ng ??ng thôn ??ng Kim xã Trung L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2578;7;;;;;;;;;;;
352;8145036;Nâng c?p,s?a ch?a tuy?n ???ng huy?n ?H.37 n?m 2025, huy?n Can L?c;h??ng;2;H;Can L?c;3455;7;;;;;;;;;;;
353;8022641;???ng giao thông t? thôn Trung V?n ?i thôn B?c V?n, xã Th?ch V?n;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
354;8025250;H? th?ng cây xanh tuy?n ???ng ?H.106 ?o?n t? ???ng tránh Qu?c l? 1A t?i xã Tân Lâm H??ng ??n T?nh l? 21;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
355;8025249;H? th?ng cây xanh ???ng ?H.105 ?o?n t? c?u H?ng Quang, xã Vi?t Ti?n ??n thôn Song Hoành, xã L?u V?nh S?n;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
356;8092881;Nhà ?a ch?c n?ng Tr??ng THCS Long S?n;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
357;8095527;Nhà ?a ch?c n?ng Tr??ng ti?u h?c Th?ch S?n;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
358;7768262;Tr?m bi?n áp 1000kVA- 22/04kV và h? th?ng ???ng dây t?i CCN Th?ch Kim;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
359;7757924;X? lý m?t ?ê H?u Nghèn ?o?n t? K4+518,5 ??n K4+872, th? tr?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
360;7960157;"Kh?i nhà khoa C?p c?u ch?ng ??c; khoa N?i t?ng h?p; khoa Y h?c c? truy?n - ph?c h?i ch?c n?ng; khoa D??c và các h?ng m?c ph? tr? Trung tâm Y t? huy?n Th?ch Hà";Phú;3;H;Th?ch Hà;2140;7;;;;;;;;;;;
361;7671682;H? t?ng k? thu?t khu dân c? nông thôn ph?c v? phòng, ch?ng ng?p l? cho nhân dân xã Ph??ng M?;Quân;3;#N/A;H??ng Khê;2140;7;;;;;;;;;;;
362;7744782;C?u Cây Tr?, xã Phú Gia, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
363;7766221;S?a ch?a, nâng c?p h? Thùng Tr?a, xã H??ng Tr?ch, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
364;7767761;???ng t? ???ng H? Chí Minh ?i Huy?n l? 1 ?o?n qua xã H??ng Long, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
365;7771915;Câ?u Ba?i Ha?t va? ????ng hai ?â?u câ?u, xa? Ho?a Ha?i, huyê?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
366;7767760;C?u L?c Yên, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
367;7896298;S?a ch?a, nâng c?p tr??ng THCS Chu V?n An và tr??ng THCS Phúc Tr?ch;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
368;7896299;Khôi ph?c, nâng c?p Tr??ng Ti?u h?c H??ng Liên;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
369;7769284;C?u Hói ??a, c?u Ch?m Trèng và kh?c ph?c các v? trí h? h?ng c?c b? tuy?n ???ng liên xã 8 (Hà Linh-Ph??ng M?) huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
370;7896300;Khôi ph?c, nâng c?p Tr??ng Ti?u h?c H??ng Th?y;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
371;7903057;Khôi ph?c ???ng giao thông xã H??ng Liên;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
372;7957356;Khôi ph?c ??p Khe Tra xã Phú Gia;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
373;7669984;???ng giao thông t? ???ng H? Chí Minh vào trung tâm xã H??ng Thu?;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
374;7704352;Khu x? lý ch?t th?i r?n t?i huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
375;8053449;Nhà hành chính qu?n tr? 02 t?ng Tr??ng Ti?u h?c H??ng ?ô;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
376;8026958;H? th?ng c?p n??c ph?c v? khu x? lý ch?t th?i r?n t?i huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
377;7990463;Nâng c?p ???ng huy?n l? 8 (?H93);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
378;8026949;Trung tâm giáo d?c ngh? nghi?p - giáo d?c th??ng xuyên;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
379;7990184;Nâng c?p, c?i t?o nhà làm vi?c 3 t?ng và h?ng m?c ph? tr? Trung tâm y t? huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
380;8025723;Nhà HCQT k?t h?p phòng ph?c v? h?c t?p Tr??ng M?m non H??ng Tr?ch ;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
381;7947025;Nhà h? tr? h?c t?p 2 t?ng THCS H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
382;7926124;???ng GTNT xóm 12,13 Hoà H?i;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
383;8025721;Nhà hành chính qu?n tr? Tr??ng Ti?u h?c Phúc Tr?ch;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
384;7947024;Nhà h?c 2 t?ng 6 phòng tr??ng THCS H??ng Trà;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
385;7999319;Nhà ph?c v? 3 t?ng 6 phòng Ti?u h?c H??ng ?ô;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
386;8025715;Nhà hành chính qu?n tr? k?t h?p phòng ph?c v? h?c t?p Tr??ng M?m non H??ng Trà;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
387;7990452;Nâng c?p, c?i t?o Trung tâm v?n hoá truy?n thông huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
388;7957799;C?i t?o tr? s? c? quan Huy?n ?y, UBND huy?n, tr? s? làm vi?c Trung tâm ?ng d?ng khoa h?c k? thu?t và B?o v? cây tr?ng, v?t nuôi huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
389;7835060;Nâng c?p, c?i t?o Trung tâm V?n hóa - Truy?n thông huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
390;8066750;S?a ch?a, b?o d??ng Tr? s? làm vi?c Phòng Giáo d?c và ?ào t?o;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
391;7902768;Nhà h?c 2T8P Ti?u h?c xã h??ng thu?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
392;8025714;Nhà HCQT k?t h?p phòng ph?c v? h?c t?p Tr??ng m?m non H??ng Giang;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
393;7890935;Nhà h?c 1 t?ng 4 phòng và các h?ng m?c ph? tr? Tr??ng M?m non H??ng Giang;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
394;8026950;S?a ch?a tr? s? làm vi?c Kh?i dân và nhà làm vi?c Phòng Tài nguyên & Môi tr??ng c?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
395;7955257;Nâng c?p, c?i t?o Tr??ng TH H??ng Lâm (?i?m chính và chúc A) và tr??ng M?m non (?i?m thôn 10);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
396;8026956;Kh?i h? tr?, ph? tr? h?c t?p 2 t?ng Tr??ng M?m non H??ng V?nh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
397;7946768;Nhà b? môn 2T4P THCS Hoà H?i;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
398;8026954;Kh?i phòng h?c và h? tr? h?c t?p 2 t?ng tr??ng M?m non H??ng Bình;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
399;8018890;Nâng c?p, c?i t?o tr??ng THCS và TH phúc ??ng;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
400;7959537;Kh?i phòng ph?c v? h?c t?p 2T6P Tr??ng Ti?u h?c Hà Linh (?i?m chính);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
401;7957358;Nhà v?n hoá xã ?i?n M?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
402;7999320;Nhà h?c b? môn 3T9P ?i?m Truông Bát, Ti?u h?c Hà Linh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
403;7957791;Nhà hành chính qu?n tr? k?t h?p phòng ph?c v? h?c t?p tr??ng m?m non ?i?n M? (?i?m chính);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
404;7990454;Nhà ch?c n?ng v?n hoá 2 t?ng xã Hà Linh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
405;8026947;Nâng c?p, s?a ch?a ???ng ?H93 ?o?n H??ng V?nh ?i B?n Giàng 2 và ???ng ?H87 ?o?n qua xã H??ng Th?y, H??ng Giang;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
406;8018898;???ng GT t? ???ng HCM ?i khu x? lý ch?t th?i r?n huy?n ;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
407;8026955;Kh?i phòng h?c và h? tr? h?c t?p 2 t?ng Tr??ng M?m non H??ng Trà;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
408;8026951;Nhà h?c b? môn k?t h?p phòng ph? tr? h?c t?p 2 t?ng Tr??ng ti?u h?c Phúc Tr?ch ;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
409;7946116;Nhà hành chính qu?n tr? k?t h?p h?c t?p, Tr??ng ti?u h?c H??ng Lâm (?i?m Chúc A);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
410;7921704;Nâng c?p, c?i t?o tr??ng THCS H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
411;8025719;Kh?i phòng ph? tr? h?c t?p 2 t?ng THCS Hà Linh ;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
412;7896620;Nhà hành chính qu?n tr? 02 t?ng Tr??ng THCS Phú Gia;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
413;7964402;S?a ch?a, nâng c?p h? ch?a n??c Khe mui xã H??ng lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
414;8018891;Nâng c?p c?i t?o m?m non Bông Sen;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
415;8025722;Kh?i phòng ph?c v? h?c t?p 3T6P Tr??ng Ti?u h?c ?i?n M?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
416;7944312;???ng GTNT xóm Bình Giang xã H??ng Bình;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
417;7990474;Nhà x??ng th?c hành trung tâm giáo d?c ngh? nghi?p, giáo d?c th??ng xuyên huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
418;7946769;Nhà h?c b? môn 02 t?ng 6 phòng Tr??ng Ti?u h?c H??ng Lâm (?i?m chính);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
419;8018897;C?u dân sinh t?i thôn 6,8,10 xã H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
420;8053445;C?u Khe trong, khe tu?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
421;8026952;Nhà HCQT k?t h?p phòng ph?c v? h?c t?p THCS H??ng Giang;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
422;8002571;???ng GTNT Hà Linh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
423;7946767;Nhà HCQT 2 t?ng, TH Phúc ??ng;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
424;7999324;???ng GT huy?n l? 12 (?H97) ?o?n qua xã Gia Ph?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
425;7990453;Nhà ch?c n?ng v?n hoá 02 t?ng xã H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
426;7946770;???ng giao thông t? c?u Ch? Hôm ??n khu h? t?ng tránh l? xã ?i?n M?;Quân;3;T;H??ng Khê;2140;7;;;;;;;;;;;
427;7942220;???ng GTNT xã H??ng Thu?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
428;8025718;Nhà HCQT 2 t?ng THCS Ph??ng ?i?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
429;7842909;Nhà h?c b? môn 2 t?ng 6 phòng tr??ng THCS H??ng Trà;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
430;8156240;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Trung Th??ng, xã L?c Yên;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
431;7913871;Nhà hành chính qu?n tr? 02 t?ng Tr??ng THCS H??ng Tr?ch;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
432;7913872;Nhà ph?c v? h?c t?p 4 phòng 1 t?ng tr??ng Ti?u h?c H??ng Tr?ch (?i?m La Khê), huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
433;7999321;Nâng c?p, c?i t?o Tr??ng m?m non H??ng Liên;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
434;7743739;Nâng c?p, s?a ch?a dãy nhà ti?p công dân, dãy nhà Thanh tra-Th?ng kê, dãy nhà lãnh ??o thu?c tr? s? C? quan UBND huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
435;7875149;C?i t?o nhà ?n, nhà b?p, nhà th? thao, phòng làm vi?c thu?c tr? s? UBND huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
436;7894470;Nâng c?p khuôn viên Trung tâm Hành chính công huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
437;7947026;Nhà h?c b? môn 03 t?ng Tr??ng THCS Phú Gia;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
438;7990451;Nâng c?p, c?i t?o Trung tâm giáo d?c ngh? nghi?p - Giáo d?c th??ng xuyên huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
439;7573535;C?i t?o, nâng c?p H?i tr??ng l?n và Tr? s? làm vi?c UBND huy?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
440;7709956;Nâng c?p, c?i t?o Trung tâm hành chính công huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
441;7946215;Nâng c?p ???ng giao thông vào trung tâm xã H??ng Long;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
442;7842905;Nhà hành chính qu?n tr? 2 t?ng - Tr??ng Ti?u h?c H??ng Giang;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
443;7842906;Nhà h?c b? môn 2 t?ng 6 phòng tr??ng M?m non H??ng Th?y;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
444;7910257;Nâng c?p, c?i t?o tr??ng THPT Gia Ph? c?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
445;XHH3;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Trung H?i, xã Gia Ph?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
446;7743738;Nhà h?c 2 t?ng 4 phòng Tr??ng M?m non xã H??ng V?nh, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
447;7842907;Nhà h?c b? môn 2 t?ng tr??ng THCS H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
448;7909982;Nhà hành chính qu?n tri 02 t?ng tr??ng TH H??ng Xuân;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
449;7902753;Nhà hành chính qu?n tr? 02 t?ng Tr??ng THCS H??ng Lâm;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
450;7951423;Nhà hành chính qu?n tr? k?t h?p phòng ph?c v? h?c t?p Tr??ng M?m non H??ng Lâm (?i?m chính);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
451;7951424;Nhà hành chính qu?n tr? Tr??ng Ti?u h?c xã H??ng Lâm (?i?m chính);Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
452;7868259;S?a ch?a, nâng c?p tràn ??p Làng xã H??ng Bình;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
453;7889262;Nhà làm vi?c 02 t?ng Tr? s? UBND xã H??ng Bình;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
454;7894475;Nhà hành chính qu?n tr? k?t h?p phòng ph?c v? h?c t?p tr??ng M?m non Phúc ??ng;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
455;7900141;Nhà hành chính qu?n tr? 02 t?ng Tr??ng THCS Phúc ??ng;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
456;8129809;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Tân Th??ng, xã Hòa H?i;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
457;7914215;Nhà hành chính qu?n tr? k?t h?p ph?c v? h?c t?p 3 t?ng tr??ng Ti?u h?c Hòa H?i;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
458;7921874;???ng giao thông nông thôn xóm 5, xã Phúc ??ng;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
459;XHH5;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Tân Trung, xã Hoà H?i;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
460;7855994;Nhà v?n hóa xã Hà Linh, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
461;XHH6;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Trung Ti?n, xã ?i?n M?;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
462;7868258;S?a ch?a, nâng c?p ??p C?n H??ng, xã Hà Linh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
463;XHH7;Nhà v?n hoá c?ng ??ng k?t h?p tránh bão, l? thôn 5 xã Hà Linh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
464;8129807;Nhà h?c b? môn 02 t?ng tr??ng THCS xã Hà Linh huy?n H??ng Khê t?nh Hà T?nh;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
465;7801450;Tr???ng Tiê?u ho?c, tr???ng THCS ca?c xa?: H??ng Giang, H??ng Xuân, huyê?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
466;7801459;Xây d??ng, nâng câ?p ca?c tuyê?n ????ng ngoa?i ha?ng ra?o ch?? Huyê?n;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
467;7896621;Nâng c?p, c?i t?o nhà v?n hóa xã Phúc ??ng và xây m?i phòng ch?c n?ng v?n hóa xã Phúc ??ng và L?c Yên;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
468;8025720;Kh?i ph?c v? h?c t?p 2 t?ng Tr??ng THCS Phúc Tr?ch;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
469;7906804;Kiên c? hoá tr??ng M?m non, tr??ng Ti?u h?c xã H??ng Long và xã Phú Gia;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
470;7795861;Ca?i ta?o, s??a ch??a tr???ng Mâ?m non Bông Sen Thi? trâ?n H??ng Khê;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
